Iteration;Execution time (ms);Genetic Algorithm;;;Simulation;;;Chromosome;allied;;conflict;;guardian;;herald;;hero;;journey;;mentor;;monomyth;;shadow;;shapeshifter;;trickster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Best fitness;Population average;Population Std. Dev.;Best Fitness;Trials Std. Dev.;Number of trials;;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2918102;15,260822;13,311683;1,110004;15,260822;1,2638211;15;[11, 16, 14, 9, 116, 0.6132902, 0.6497203, 0.5190415, 0.2790826, 0.6288801, 0.61688566, 0.54319596, 0.68443763, 0.50455827, 0.5058845, 0.845265, 0.8878444, 0.7650415, 0.59942156, 0.8376767, 0.16317327, 0.13278437, 0.48585007, 0.5560444, 0.5032196, 0.8655895, 0.72425634, 0.6268269, 0.382525, 0.1643267, 0.87850356, 0.40793592, 0.34794676, 0.7133263, 0.8206689, 0.87359023, 0.777693, 0.2289547, 0.6446632, 0.39986125, 0.6238027, 0.22097942, 0.507097, 0.6872307, 0.6119816, 0.5931055, 0.301851, 0.2712943, 0.42501855, 0.7737466, 0.5345904, 0.2942935];146,33333;40,81433;426,66666;80,55404;187,26666;129,3558;1,2666667;2,6583202;36,066666;9,315629;36,066666;9,315629;38,2;12,863014;0;0;36,066666;9,315629;0;0;83,066666;49,408596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;3224989;15,875081;13,380158;2,6834378;15,875081;1,8172386;15;[13, 14, 14, 8, 118, 0.41923738, 0.6298355, 0.5031242, 0.43977213, 0.6299376, 0.8894358, 0.7329775, 0.4368931, 0.46178824, 0.45054436, 0.7065086, 0.9373895, 0.6887684, 0.66121304, 0.8723738, 0.15632954, 0.015137519, 0.526816, 0.5842471, 0.48911226, 0.81887615, 0.45896354, 0.54425573, 0.3759607, 0.950639, 0.87620074, 0.29374018, 0.37156808, 0.7407288, 0.7516446, 0.7622399, 0.9613533, 0.64446056, 0.6441407, 0.49661678, 0.65486985, 0.2213817, 0.35615236, 0.7109728, 0.63323915, 0.6052634, 0.46069714, 0.51966214, 0.48014316, 0.7589538, 0.3698119, 0.07456134];181,66667;89,65542;458,26666;156,83043;321;373,76828;1,8;2,7044935;45,666668;23,377848;45,666668;23,377848;70,066666;44,05916;0;0;45,666668;23,377848;0;0;79,53333;68,177155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;3894954;17,737406;14,163158;1,3550332;17,737406;2,4902194;15;[11, 15, 14, 14, 119, 0.55493855, 0.82957083, 0.51257986, 0.4439748, 0.6080124, 0.79128414, 0.44862425, 0.18309483, 0.5983577, 0.47662497, 0.8633309, 0.9400927, 0.40514654, 0.5588164, 0.75306565, 0.16833459, 0.08195295, 0.5357217, 0.56355923, 0.3436954, 0.7312864, 0.50036675, 0.68221694, 0.5875794, 0.6460489, 0.95683944, 0.40637305, 0.54940015, 0.5504155, 0.71052015, 0.85543996, 0.98283684, 0.16017248, 0.8525172, 0.35086536, 0.559117, 0.13718495, 0.68766314, 0.90983605, 0.44632015, 0.5999992, 0.35591736, 0.26757616, 0.48614207, 0.8026621, 0.49201882, 0.5203528];291,26666;192,40897;606,6667;177,40698;456,6;389,36887;30;70,44349;61,733334;28,01139;61,733334;28,01139;44,666668;22,518776;0;0;61,733334;28,01139;1,8666667;4,4218073;199,06667;177,83076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;4144197;18,00228;14,350302;1,9806418;18,00228;1,9400151;15;[8, 11, 11, 13, 118, 0.5712003, 0.925637, 0.4996218, 0.3018062, 0.60516346, 0.79680455, 0.42601687, 0.5155348, 0.4721154, 0.45795953, 0.63009596, 0.9595473, 0.6348953, 0.72287965, 0.77565885, 0.19851479, 0.3961631, 0.5567641, 0.5539887, 0.66007435, 0.73948795, 0.4608248, 0.34691462, 0.39298135, 0.6649185, 0.7121612, 0.39351952, 0.48679298, 0.5957736, 0.45235708, 0.6815336, 0.6928755, 0.6140304, 0.89170927, 0.22070768, 0.81961805, 0.13323346, 0.4788129, 0.783579, 0.52153164, 0.5950216, 0.32766756, 0.34178245, 0.4749884, 0.7557026, 0.42099118, 0.5976992];380,66666;175,16591;622,6667;166,95024;505,46667;382,44025;3,8;4,312772;63,6;23,963663;63,6;23,963663;37,933334;22,883139;0;0;63,6;23,963663;5,8;16,37594;285,4;187,2778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;4497278;18,00228;14,744759;1,1570134;18,00228;1,9400151;15;[8, 11, 11, 13, 118, 0.5712003, 0.925637, 0.4996218, 0.3018062, 0.60516346, 0.79680455, 0.42601687, 0.5155348, 0.4721154, 0.45795953, 0.63009596, 0.9595473, 0.6348953, 0.72287965, 0.77565885, 0.19851479, 0.3961631, 0.5567641, 0.5539887, 0.66007435, 0.73948795, 0.4608248, 0.34691462, 0.39298135, 0.6649185, 0.7121612, 0.39351952, 0.48679298, 0.5957736, 0.45235708, 0.6815336, 0.6928755, 0.6140304, 0.89170927, 0.22070768, 0.81961805, 0.13323346, 0.4788129, 0.783579, 0.52153164, 0.5950216, 0.32766756, 0.34178245, 0.4749884, 0.7557026, 0.42099118, 0.5976992];380,66666;175,16591;622,6667;166,95024;505,46667;382,44025;3,8;4,312772;63,6;23,963663;63,6;23,963663;37,933334;22,883139;0;0;63,6;23,963663;5,8;16,37594;285,4;187,2778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;5090174;18,00228;15,129806;0,88337547;18,00228;1,9400151;15;[8, 11, 11, 13, 118, 0.5712003, 0.925637, 0.4996218, 0.3018062, 0.60516346, 0.79680455, 0.42601687, 0.5155348, 0.4721154, 0.45795953, 0.63009596, 0.9595473, 0.6348953, 0.72287965, 0.77565885, 0.19851479, 0.3961631, 0.5567641, 0.5539887, 0.66007435, 0.73948795, 0.4608248, 0.34691462, 0.39298135, 0.6649185, 0.7121612, 0.39351952, 0.48679298, 0.5957736, 0.45235708, 0.6815336, 0.6928755, 0.6140304, 0.89170927, 0.22070768, 0.81961805, 0.13323346, 0.4788129, 0.783579, 0.52153164, 0.5950216, 0.32766756, 0.34178245, 0.4749884, 0.7557026, 0.42099118, 0.5976992];380,66666;175,16591;622,6667;166,95024;505,46667;382,44025;3,8;4,312772;63,6;23,963663;63,6;23,963663;37,933334;22,883139;0;0;63,6;23,963663;5,8;16,37594;285,4;187,2778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;5629098;18,00228;15,351635;1,2006378;18,00228;1,9400151;15;[8, 11, 11, 13, 118, 0.5712003, 0.925637, 0.4996218, 0.3018062, 0.60516346, 0.79680455, 0.42601687, 0.5155348, 0.4721154, 0.45795953, 0.63009596, 0.9595473, 0.6348953, 0.72287965, 0.77565885, 0.19851479, 0.3961631, 0.5567641, 0.5539887, 0.66007435, 0.73948795, 0.4608248, 0.34691462, 0.39298135, 0.6649185, 0.7121612, 0.39351952, 0.48679298, 0.5957736, 0.45235708, 0.6815336, 0.6928755, 0.6140304, 0.89170927, 0.22070768, 0.81961805, 0.13323346, 0.4788129, 0.783579, 0.52153164, 0.5950216, 0.32766756, 0.34178245, 0.4749884, 0.7557026, 0.42099118, 0.5976992];380,66666;175,16591;622,6667;166,95024;505,46667;382,44025;3,8;4,312772;63,6;23,963663;63,6;23,963663;37,933334;22,883139;0;0;63,6;23,963663;5,8;16,37594;285,4;187,2778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;6165544;18,00228;15,863579;0,88184774;18,00228;1,9400151;15;[8, 11, 11, 13, 118, 0.5712003, 0.925637, 0.4996218, 0.3018062, 0.60516346, 0.79680455, 0.42601687, 0.5155348, 0.4721154, 0.45795953, 0.63009596, 0.9595473, 0.6348953, 0.72287965, 0.77565885, 0.19851479, 0.3961631, 0.5567641, 0.5539887, 0.66007435, 0.73948795, 0.4608248, 0.34691462, 0.39298135, 0.6649185, 0.7121612, 0.39351952, 0.48679298, 0.5957736, 0.45235708, 0.6815336, 0.6928755, 0.6140304, 0.89170927, 0.22070768, 0.81961805, 0.13323346, 0.4788129, 0.783579, 0.52153164, 0.5950216, 0.32766756, 0.34178245, 0.4749884, 0.7557026, 0.42099118, 0.5976992];380,66666;175,16591;622,6667;166,95024;505,46667;382,44025;3,8;4,312772;63,6;23,963663;63,6;23,963663;37,933334;22,883139;0;0;63,6;23,963663;5,8;16,37594;285,4;187,2778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;6848551;18,00228;15,936351;0,9287081;18,00228;1,9400151;15;[8, 11, 11, 13, 118, 0.5712003, 0.925637, 0.4996218, 0.3018062, 0.60516346, 0.79680455, 0.42601687, 0.5155348, 0.4721154, 0.45795953, 0.63009596, 0.9595473, 0.6348953, 0.72287965, 0.77565885, 0.19851479, 0.3961631, 0.5567641, 0.5539887, 0.66007435, 0.73948795, 0.4608248, 0.34691462, 0.39298135, 0.6649185, 0.7121612, 0.39351952, 0.48679298, 0.5957736, 0.45235708, 0.6815336, 0.6928755, 0.6140304, 0.89170927, 0.22070768, 0.81961805, 0.13323346, 0.4788129, 0.783579, 0.52153164, 0.5950216, 0.32766756, 0.34178245, 0.4749884, 0.7557026, 0.42099118, 0.5976992];380,66666;175,16591;622,6667;166,95024;505,46667;382,44025;3,8;4,312772;63,6;23,963663;63,6;23,963663;37,933334;22,883139;0;0;63,6;23,963663;5,8;16,37594;285,4;187,2778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;6625269;18,00228;16,00939;0,74213964;18,00228;1,9400151;15;[8, 11, 11, 13, 118, 0.5712003, 0.925637, 0.4996218, 0.3018062, 0.60516346, 0.79680455, 0.42601687, 0.5155348, 0.4721154, 0.45795953, 0.63009596, 0.9595473, 0.6348953, 0.72287965, 0.77565885, 0.19851479, 0.3961631, 0.5567641, 0.5539887, 0.66007435, 0.73948795, 0.4608248, 0.34691462, 0.39298135, 0.6649185, 0.7121612, 0.39351952, 0.48679298, 0.5957736, 0.45235708, 0.6815336, 0.6928755, 0.6140304, 0.89170927, 0.22070768, 0.81961805, 0.13323346, 0.4788129, 0.783579, 0.52153164, 0.5950216, 0.32766756, 0.34178245, 0.4749884, 0.7557026, 0.42099118, 0.5976992];380,66666;175,16591;622,6667;166,95024;505,46667;382,44025;3,8;4,312772;63,6;23,963663;63,6;23,963663;37,933334;22,883139;0;0;63,6;23,963663;5,8;16,37594;285,4;187,2778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
